Episode,total_reward,revenue,orr,total_distance,cost
99,45.5984,44.9359,0.1656,110.4888,11.0489
100,50.3277,49.6136,0.1785,107.1353,10.7135
101,47.1042,46.4070,0.1743,108.2971,10.8297
102,47.7791,47.0635,0.1789,112.4420,11.2442
103,46.3924,45.7160,0.1691,104.7434,10.4743
104,45.7913,45.1109,0.1701,109.5461,10.9546
105,49.7600,49.0338,0.1816,118.1384,11.8138
106,48.5343,47.8256,0.1772,104.7449,10.4745
107,46.6152,45.9113,0.1760,110.0899,11.0090
108,49.8198,49.0924,0.1818,114.0061,11.4006
109,47.1579,46.4560,0.1755,113.0588,11.3059
110,45.4028,44.7187,0.1710,114.9474,11.4947
111,44.4650,43.8075,0.1644,109.8394,10.9839
112,47.9775,47.2381,0.1848,117.5672,11.7567
113,49.4832,48.7466,0.1842,114.9291,11.4929
114,45.4974,44.8191,0.1696,119.0284,11.9028
115,50.2734,49.5229,0.1876,116.6706,11.6671
116,46.1081,45.4222,0.1715,114.1977,11.4198
117,51.3277,50.5724,0.1888,116.1630,11.6163
118,49.5622,48.8278,0.1836,120.3853,12.0385
119,52.5659,51.7711,0.1987,124.1073,12.4107
120,47.5733,46.8370,0.1841,122.8869,12.2887
121,48.1571,47.4426,0.1786,118.6375,11.8638
122,50.9585,50.1964,0.1905,118.6852,11.8685
123,51.1528,50.3854,0.1918,119.3868,11.9387
124,48.4223,47.6780,0.1861,123.7364,12.3736
125,46.7228,46.0215,0.1753,114.3592,11.4359
126,46.4479,45.7411,0.1767,121.2141,12.1214
127,47.2440,46.5181,0.1815,121.8314,12.1831
128,51.2894,50.5223,0.1918,117.4644,11.7464
129,53.2155,52.4174,0.1995,118.4044,11.8404
130,48.1785,47.4498,0.1822,116.0238,11.6024
131,50.6693,49.9193,0.1875,117.2833,11.7283
132,50.6445,49.8763,0.1920,123.5861,12.3586
133,47.8511,47.0996,0.1879,118.2310,11.8231
134,51.4042,50.6056,0.1996,119.5652,11.9565
135,49.2938,48.5488,0.1863,125.3515,12.5352
136,51.0176,50.2519,0.1914,113.6465,11.3646
137,51.5220,50.7446,0.1943,121.8241,12.1824
138,51.9727,51.1957,0.1943,121.2515,12.1252
139,49.9728,49.2115,0.1903,122.4026,12.2403
140,51.0798,50.3099,0.1925,120.4763,12.0476
141,50.1405,49.3697,0.1927,123.4218,12.3422
142,50.2263,49.4598,0.1916,124.5654,12.4565
143,50.6507,49.8776,0.1933,122.8310,12.2831
144,51.8085,51.0369,0.1929,122.0999,12.2100
145,49.4024,48.6417,0.1902,119.6289,11.9629
146,47.8977,47.1473,0.1876,125.8847,12.5885
147,49.4905,48.7444,0.1865,117.3928,11.7393
148,51.7910,50.9884,0.2007,124.1788,12.4179
149,52.8695,52.0732,0.1991,122.8421,12.2842
150,50.2454,49.4720,0.1934,122.3564,12.2356
151,49.5975,48.8239,0.1934,121.6413,12.1641
152,49.8211,49.0556,0.1914,122.1164,12.2116
153,51.6432,50.8473,0.1990,123.1485,12.3149
154,49.9488,49.1634,0.1964,126.6321,12.6632
155,48.2638,47.5163,0.1869,122.0152,12.2015
156,50.1776,49.4011,0.1941,123.6088,12.3609
157,52.3847,51.5610,0.2059,128.6496,12.8650
158,49.9266,49.1544,0.1930,125.6239,12.5624
159,48.6548,47.8844,0.1926,125.2106,12.5211
160,52.6637,51.8647,0.1998,123.2521,12.3252
161,49.1480,48.3817,0.1916,123.2062,12.3206
